Time (s),Channel 1 (V),Channel 2 (V)
-1.431608163265306018e-04,3.279867726053851573e+00,3.251751807815536743e+00
-1.431308163265306173e-04,3.276116623991867538e+00,3.244312174488057643e+00
-1.431008163265306329e-04,3.276116623991863985e+00,3.248031991151790088e+00
-1.430708163265305942e-04,3.287369930177827637e+00,3.251751807815536743e+00
-1.430408163265306097e-04,3.276116623991863985e+00,3.259191441143022061e+00
-1.430108163265306253e-04,3.276116623991863985e+00,3.251751807815543405e+00
-1.429808163265305866e-04,3.279867726053851573e+00,3.244312174488050982e+00
-1.429508163265306021e-04,3.276116623991863985e+00,3.248031991151793640e+00
-1.429208163265306177e-04,3.272365521929879950e+00,3.240592357824314984e+00
-1.428908163265306332e-04,3.283618828115828947e+00,3.251751807815526529e+00
-1.428608163265305945e-04,3.287369930177827637e+00,3.259191441143022061e+00
-1.428308163265306100e-04,3.287369930177827637e+00,3.262911257806764720e+00
-1.428008163265306256e-04,3.287369930177827637e+00,3.274070707797982482e+00
-1.427708163265305869e-04,3.302374338425778877e+00,3.270350891134250038e+00
-1.427408163265306024e-04,3.309876542549754941e+00,3.274070707797992696e+00
-1.427108163265306180e-04,3.309876542549754941e+00,3.285230157789210903e+00
-1.426808163265306335e-04,3.321129848735707490e+00,3.277790524461742461e+00
-1.426508163265305948e-04,3.313627644611742529e+00,3.285230157789221117e+00
-1.426208163265306104e-04,3.298623236363791289e+00,3.285230157789221117e+00
-1.425908163265306259e-04,3.302374338425775324e+00,3.292669791116699773e+00
-1.425608163265305872e-04,3.309876542549754941e+00,3.292669791116706435e+00
-1.425308163265306028e-04,3.317378746673730117e+00,3.292669791116706435e+00
-1.425008163265306183e-04,3.321129848735714152e+00,3.292669791116706435e+00
-1.424708163265306338e-04,3.309876542549765155e+00,3.300109424444185535e+00
-1.424408163265305951e-04,3.317378746673730117e+00,3.300109424444192197e+00
-1.424108163265306107e-04,3.313627644611742529e+00,3.288949974452963776e+00
-1.423808163265306262e-04,3.309876542549758494e+00,3.303829241107921533e+00
-1.423508163265305875e-04,3.321129848735717704e+00,3.307549057771677514e+00
-1.423208163265306031e-04,3.321129848735717704e+00,3.300109424444192197e+00
-1.422908163265306186e-04,3.321129848735717704e+00,3.292669791116713096e+00
-1.422608163265306341e-04,3.313627644611749190e+00,3.303829241107924641e+00
-1.422308163265305955e-04,3.324880950797706181e+00,3.296389607780449538e+00
-1.422008163265306110e-04,3.291121032239815225e+00,3.274070707797992696e+00
-1.421708163265306265e-04,3.291121032239815225e+00,3.274070707797992696e+00
-1.421408163265305879e-04,3.298623236363791289e+00,3.285230157789221117e+00
-1.421108163265306034e-04,3.294872134301802813e+00,3.274070707797992696e+00
-1.420808163265306189e-04,3.291121032239818778e+00,3.266631074470514040e+00
-1.420508163265306345e-04,3.294872134301799260e+00,3.259191441143028722e+00
-1.420208163265305958e-04,3.294872134301802813e+00,3.266631074470507379e+00
-1.419908163265306113e-04,3.291121032239815225e+00,3.266631074470507379e+00
-1.419608163265306268e-04,3.287369930177831190e+00,3.270350891134246485e+00
-1.419308163265305882e-04,3.276116623991863985e+00,3.270350891134250038e+00
-1.419008163265306037e-04,3.283618828115839161e+00,3.262911257806764720e+00
-1.418708163265306192e-04,3.294872134301792599e+00,3.259191441143025614e+00
-1.418408163265306348e-04,3.287369930177834298e+00,3.274070707797979374e+00
-1.418108163265305961e-04,3.279867726053851573e+00,3.266631074470507379e+00
-1.417808163265306116e-04,3.283618828115835608e+00,3.270350891134246485e+00
-1.417508163265306272e-04,3.283618828115839161e+00,3.259191441143032275e+00
-1.417208163265305885e-04,3.287369930177827637e+00,3.259191441143022061e+00
-1.416908163265306040e-04,3.272365521929876397e+00,3.255471624479279402e+00
-1.416608163265306196e-04,3.276116623991860433e+00,3.248031991151800302e+00
-1.416308163265306351e-04,3.276116623991863985e+00,3.274070707797969160e+00
-1.416008163265305964e-04,3.276116623991863985e+00,3.266631074470507379e+00
-1.415708163265306119e-04,3.272365521929879950e+00,3.259191441143028722e+00
-1.415408163265306275e-04,3.276116623991860433e+00,3.262911257806761167e+00
-1.415108163265305888e-04,3.276116623991863985e+00,3.251751807815536743e+00
-1.414808163265306043e-04,3.279867726053851573e+00,3.251751807815536743e+00
-1.414508163265306199e-04,3.272365521929883059e+00,3.251751807815536743e+00
-1.414208163265306354e-04,3.276116623991860433e+00,3.262911257806754506e+00
-1.413908163265305967e-04,3.279867726053851573e+00,3.255471624479279402e+00
-1.413608163265306123e-04,3.272365521929883059e+00,3.244312174488061196e+00
-1.413308163265306278e-04,3.276116623991860433e+00,3.255471624479269188e+00
-1.413008163265305891e-04,3.264863317805900333e+00,3.251751807815536743e+00
-1.412708163265306047e-04,3.272365521929876397e+00,3.251751807815536743e+00
-1.412408163265306202e-04,3.272365521929876397e+00,3.251751807815536743e+00
-1.412108163265306357e-04,3.279867726053844912e+00,3.259191441143015400e+00
-1.411808163265305970e-04,3.276116623991863985e+00,3.255471624479279402e+00
-1.411508163265306126e-04,3.268614419867894583e+00,3.255471624479279402e+00
-1.411208163265306281e-04,3.279867726053841359e+00,3.251751807815540296e+00
-1.410908163265305894e-04,3.287369930177827637e+00,3.262911257806764720e+00
-1.410608163265306050e-04,3.272365521929876397e+00,3.251751807815536743e+00
-1.410308163265306205e-04,3.276116623991860433e+00,3.262911257806754506e+00
-1.410008163265306360e-04,3.291121032239801458e+00,3.262911257806764720e+00
-1.409708163265305974e-04,3.291121032239815225e+00,3.270350891134250038e+00
-1.409408163265306129e-04,3.294872134301799260e+00,3.259191441143032275e+00
-1.409108163265306284e-04,3.291121032239818778e+00,3.274070707797979374e+00
-1.408808163265305897e-04,3.283618828115839161e+00,3.270350891134250038e+00
-1.408508163265306053e-04,3.291121032239815225e+00,3.270350891134250038e+00
-1.408208163265306208e-04,3.291121032239815225e+00,3.259191441143032275e+00
-1.407908163265306364e-04,3.294872134301799260e+00,3.266631074470500717e+00
-1.407608163265305977e-04,3.287369930177827637e+00,3.259191441143022061e+00
-1.407308163265306132e-04,3.294872134301796152e+00,3.259191441143022061e+00
-1.407008163265306287e-04,3.283618828115849375e+00,3.259191441143022061e+00
-1.406708163265305901e-04,3.283618828115839161e+00,3.262911257806764720e+00
-1.406408163265306056e-04,3.283618828115839161e+00,3.266631074470507379e+00
-1.406108163265306211e-04,3.283618828115839161e+00,3.266631074470507379e+00
-1.405808163265306367e-04,3.294872134301792599e+00,3.274070707797986035e+00
-1.405508163265305980e-04,3.302374338425778877e+00,3.274070707797992696e+00
-1.405208163265306135e-04,3.294872134301809474e+00,3.270350891134253590e+00
-1.404908163265306291e-04,3.279867726053865340e+00,3.274070707797989144e+00
-1.404608163265305904e-04,3.283618828115839161e+00,3.266631074470507379e+00
-1.404308163265306059e-04,3.279867726053851573e+00,3.262911257806764720e+00
-1.404008163265306215e-04,3.276116623991867538e+00,3.262911257806764720e+00
-1.403708163265306370e-04,3.276116623991863985e+00,3.266631074470503826e+00
-1.403408163265305983e-04,3.279867726053851573e+00,3.270350891134250038e+00
-1.403108163265306138e-04,3.283618828115835608e+00,3.270350891134250038e+00
-1.402808163265306294e-04,3.279867726053855126e+00,3.266631074470510931e+00
-1.402508163265305907e-04,3.283618828115839161e+00,3.266631074470507379e+00
-1.402208163265306062e-04,3.287369930177827637e+00,3.277790524461735799e+00
-1.401908163265306218e-04,3.287369930177827637e+00,3.270350891134256699e+00
-1.401608163265306373e-04,3.283618828115842714e+00,3.266631074470510931e+00
-1.401308163265305986e-04,3.294872134301802813e+00,3.277790524461735799e+00
-1.401008163265306142e-04,3.291121032239818778e+00,3.266631074470517593e+00
-1.400708163265306297e-04,3.298623236363784628e+00,3.266631074470507379e+00
-1.400408163265305910e-04,3.283618828115839161e+00,3.270350891134250038e+00
-1.400108163265306065e-04,3.291121032239815225e+00,3.270350891134250038e+00
-1.399808163265306221e-04,3.291121032239815225e+00,3.274070707797989144e+00
-1.399508163265306376e-04,3.291121032239815225e+00,3.259191441143035384e+00
-1.399208163265305989e-04,3.287369930177827637e+00,3.270350891134250038e+00
-1.398908163265306145e-04,3.291121032239811672e+00,3.266631074470510931e+00
-1.398608163265306300e-04,3.287369930177831190e+00,3.266631074470507379e+00
-1.398308163265305913e-04,3.298623236363791289e+00,3.270350891134250038e+00
-1.398008163265306069e-04,3.287369930177827637e+00,3.274070707797992696e+00
-1.397708163265306224e-04,3.306125440487749589e+00,3.274070707797992696e+00
-1.397408163265306379e-04,3.283618828115859589e+00,3.262911257806774934e+00
-1.397108163265305993e-04,3.287369930177827637e+00,3.266631074470507379e+00
-1.396808163265306148e-04,3.294872134301796152e+00,3.270350891134246485e+00
-1.396508163265306303e-04,3.287369930177834298e+00,3.274070707797989144e+00
-1.396208163265305916e-04,3.283618828115839161e+00,3.262911257806764720e+00
-1.395908163265306072e-04,3.291121032239815225e+00,3.262911257806764720e+00
-1.395608163265306227e-04,3.287369930177831190e+00,3.259191441143025614e+00
-1.395308163265306383e-04,3.291121032239811672e+00,3.262911257806761167e+00
-1.395008163265305996e-04,3.294872134301802813e+00,3.274070707797992696e+00
-1.394708163265306151e-04,3.306125440487756251e+00,3.266631074470514040e+00
-1.394408163265306306e-04,3.294872134301813027e+00,3.270350891134246485e+00
-1.394108163265305920e-04,3.298623236363791289e+00,3.262911257806764720e+00
-1.393808163265306075e-04,3.291121032239815225e+00,3.270350891134250038e+00
-1.393508163265306230e-04,3.291121032239815225e+00,3.270350891134250038e+00
-1.393208163265305844e-04,3.287369930177827637e+00,3.277790524461735799e+00
-1.392908163265305999e-04,3.279867726053851573e+00,3.255471624479279402e+00
-1.392608163265306154e-04,3.276116623991867538e+00,3.262911257806758059e+00
-1.392308163265306310e-04,3.291121032239801458e+00,3.266631074470503826e+00
-1.392008163265305923e-04,3.283618828115839161e+00,3.270350891134250038e+00
-1.391708163265306078e-04,3.298623236363791289e+00,3.266631074470507379e+00
-1.391408163265306233e-04,3.294872134301806366e+00,3.274070707797986035e+00
-1.391108163265305847e-04,3.302374338425778877e+00,3.277790524461735799e+00
-1.390808163265306002e-04,3.294872134301802813e+00,3.281510341125478458e+00
-1.390508163265306157e-04,3.302374338425772216e+00,3.285230157789217564e+00
-1.390208163265306313e-04,3.294872134301809474e+00,3.292669791116699773e+00
-1.389908163265305926e-04,3.309876542549754941e+00,3.292669791116706435e+00
-1.389608163265306081e-04,3.313627644611742529e+00,3.292669791116706435e+00
